field_id	title	availability	stability	private	value_type	base_type	item_type	strata	instanced	arrayed	sexed	units	main_category	encoding_id	instance_id	instance_min	instance_max	array_min	array_max	notes	debut	version	num_participants	item_count	showcase_order	cost_do	cost_on	cost_sc
3	Verbal interview duration	0	0	0	11	0	0	2	1	0	0	seconds	152	0	2	0	3	0	0	Time taken for interview	2012-01-05T00:00:00	2024-09-15T00:00:00	501317	610244	0	0	1	1
4	Biometrics duration	0	0	0	11	0	0	2	1	0	0	seconds	152	0	2	0	3	0	0	Time taken for participant to do the tests in the biometric station of the Assessment Centre visit.	2012-01-05T00:00:00	2024-09-15T00:00:00	497966	618476	0	0	1	1
5	Sample collection duration	0	0	0	11	0	0	2	1	0	0	seconds	152	0	2	0	3	0	0	Time taken for participant to complete the blood phlebotomy station of the Assessment Centre visit. This is longer than the time during which they were actively giving blood.	2012-01-05T00:00:00	2024-09-15T00:00:00	500995	623544	0	0	1	1
6	Conclusion duration	0	0	0	11	0	0	2	1	0	0	seconds	152	0	2	0	3	0	0	This is the time taken for the participant to complete the final conclusion stage of the Assessment Centre visit.	2012-01-05T00:00:00	2024-09-15T00:00:00	498999	621431	0	0	1	1
19	Heel ultrasound method	0	0	0	21	11	0	0	1	0	0		100018	100260	2	0	0	0	0	Method used for the Ultrasound Bone Densitometry of heel	2012-01-05T00:00:00	2012-01-06T00:00:00	324548	324548	3	0	1	1
21	Weight method	0	0	0	21	11	0	0	1	0	0		100010	100261	2	0	3	0	0	Indicates whether weight was entered into the machine directly or manually, whether weight was only measured manually or not performed	2012-01-05T00:00:00	2024-09-15T00:00:00	500522	622219	11	0	1	1
23	Spirometry method	0	0	0	21	11	0	0	1	0	0		100020	100270	2	0	3	0	0	Spirometry method	2012-01-05T00:00:00	2024-09-15T00:00:00	460045	523490	180	0	1	1
31	Sex	0	0	0	21	11	0	0	0	0	0		100094	9	0	0	0	0	0	Sex of participant. <p>Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex.	2012-01-05T00:00:00	2022-03-10T00:00:00	502150	502150	140	0	1	1
33	Date of birth	0	0	1	51	0	0	0	0	0	0		100094	0	0	0	0	0	0	Date of birth (DOB) of participant. <p>Acquired from central registry, updated by participant. <p> This data-field will only be made available to researchers in exceptional circumstances. Wherever possible, reasearchers should use Month of Birth (~F52~) and Year of Birth (~F34~) instead.	2012-01-05T00:00:00	2022-03-23T00:00:00	502150	502150	110	0	0	1
34	Year of birth	0	0	0	11	0	0	0	0	0	0	years	100094	0	0	0	0	0	0	Year of birth of participant.<p>Acquired from central registry, updated by participant.	2012-01-05T00:00:00	2023-04-24T00:00:00	502150	502150	130	0	1	1
35	Was blood sampling attempted	0	0	0	21	11	0	0	1	0	0		100002	7	2	0	3	0	0	Indicates whether or not taking blood samples was attempted	2012-01-05T00:00:00	2024-09-15T00:00:00	500995	623544	1	0	1	1
